edinet_code,name,syoken_code,security_code
E00004,カネコ種苗株式会社,13760,1376
E00006,株式会社　サカタのタネ,13770,1377
E00007,株式会社雪国まいたけ,13750,1375
E00008,ホクト株式会社,13790,1379
E00009,株式会社アクシーズ,13810,1381
E00010,株式会社ホーブ,13820,1382
E00011,住友林業株式会社,19110,1911
E00012,株式会社　極洋,13010,1301
E00014,株式会社ニッスイ,13320,1332
E00015,マルハニチロ株式会社,13330,1333
E00021,三菱マテリアル株式会社,57110,5711
E00023,住友金属鉱山株式会社,57130,5713
E00024,三井金属鉱業株式会社,57060,5706
E00026,日本精鉱株式会社,57290,5729
E00027,中外鉱業株式会社,14910,1491
E00028,ＤＯＷＡホールディングス株式会社,57140,5714
E00030,日本コークス工業株式会社,33150,3315
E00032,古河機械金属株式会社,57150,5715
E00033,常磐興産株式会社,96750,9675
E00034,太平洋興発株式会社,88350,8835
E00035,株式会社ニッチツ,70210,7021
E00036,日鉄鉱業株式会社,15150,1515
E00037,三井松島ホールディングス株式会社,15180,1518
E00041,石油資源開発株式会社,16620,1662
E00043,株式会社ＩＮＰＥＸ,16050,1605
E00048,大和ハウス工業株式会社,19250,1925
E00052,大成建設株式会社,18010,1801
E00053,清水建設株式会社,18030,1803
E00055,株式会社大林組,18020,1802
E00056,株式会社　熊谷組,18610,1861
E00058,鹿島建設株式会社,18120,1812
E00059,日本国土開発株式会社,18870,1887
E00060,西松建設株式会社,18200,1820
E00063,飛島建設株式会社,18050,1805
E00064,松井建設株式会社,18100,1810
E00065,鉄建建設株式会社,18150,1815
E00066,東亜道路工業株式会社,18820,1882
E00067,日本道路株式会社,18840,1884
E00069,株式会社錢高組,18110,1811
E00073,株式会社中電工,19410,1941
E00074,株式会社関電工,19420,1942
E00075,株式会社きんでん,19440,1944
E00076,株式会社トーエネック,19460,1946
E00079,徳倉建設株式会社,18920,1892
E00080,東亜建設工業株式会社,18850,1885
E00081,若築建設株式会社,18880,1888
E00082,東洋建設株式会社,18900,1890
E00083,株式会社奥村組,18330,1833
E00085,三井住友建設株式会社,18210,1821
E00086,五洋建設株式会社,18930,1893
E00090,株式会社　長谷工コーポレーション,18080,1808
E00091,中央ビルト工業株式会社,19710,1971
E00092,株式会社東京エネシス,19450,1945
E00093,大末建設株式会社,18140,1814
E00094,エクシオグループ株式会社,19510,1951
E00095,大豊建設株式会社,18220,1822
E00097,株式会社不動テトラ,18130,1813
E00098,ライト工業株式会社,19260,1926
E00101,サンユー建設株式会社,18410,1841
E00105,株式会社ナカノフドー建設,18270,1827
E00107,三機工業株式会社,19610,1961
E00109,三晃金属工業株式会社,19720,1972
E00112,東鉄工業株式会社,18350,1835
E00113,太平電業株式会社,19680,1968
E00114,住友電設株式会社,19490,1949
E00115,日本電設工業株式会社,19500,1950
E00117,株式会社イチケン,18470,1847
E00118,南海辰村建設株式会社,18500,1850
E00119,中外炉工業株式会社,19640,1964
E00120,株式会社淺沼組,18520,1852
E00121,佐田建設株式会社,18260,1826
E00130,株式会社　森組,18530,1853
E00133,金下建設株式会社,18970,1897
E00137,株式会社ユアテック,19340,1934
E00138,株式会社ヤマト,19670,1967
E00142,日特建設株式会社,19290,1929
E00143,積水ハウス株式会社,19280,1928
E00146,株式会社九電工,19590,1959
E00147,戸田建設株式会社,18600,1860
E00148,矢作建設工業株式会社,18700,1870
E00149,高砂熱学工業株式会社,19690,1969
E00153,株式会社朝日工業社,19750,1975
E00157,都築電気株式会社,81570,8157
